Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-11
Cash & Equivalents,0.29,0.4,0.2,0.75,0.9,0.01,0.01,0
Cash & Cash Equivalents,0.29,0.4,0.2,0.75,0.9,0.01,0.01,0
Cash Growth,-67.78%,3925.07%,1308.97%,-,-,-,-,-
Other Current Assets,0.09,0.18,0.28,0.38,0.32,-0.01,0,0
Total Current Assets,0.38,0.58,0.48,1.13,1.22,0,0.01,0
Long-Term Investments,284.89,282.8,281.95,281.55,281.52,0,0,0
Other Long-Term Assets,0,0,0,0.01,0.08,0.54,0.38,0.07
Total Long-Term Assets,284.89,282.8,281.95,281.56,281.61,0.54,0.38,0.07
Total Assets,285.27,283.38,282.43,282.69,282.82,0.54,0.4,0.07
Accounts Payable,0.01,0.01,0.02,0.01,0,0,0,0
Current Debt,0,0,0,0,0,0.2,0.04,0
Other Current Liabilities,0.8,0.57,0.36,0.72,0.56,0.33,0.34,0.04
Total Current Liabilities,0.81,0.57,0.37,0.73,0.56,0.52,0.37,0.04
Other Long-Term Liabilities,9.65,9.66,9.66,9.66,9.66,0,0,0
Total Long-Term Liabilities,9.65,9.66,9.66,9.66,9.66,0,0,0
Total Liabilities,10.46,10.23,10.03,10.39,10.22,0.52,0.37,0.04
Total Debt,0,0,0,0,0,0.2,0.04,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-9.67,-9.45,-9.24,-9.23,-8.92,-0,-0,-0
Shareholders' Equity,-9.67,-9.45,-9.24,-9.23,-8.91,0.02,0.02,0.02
Total Liabilities and Equity,0.79,0.78,0.79,1.17,1.3,0.54,0.4,0.07
Net Cash / Debt,0.29,0.4,0.2,0.75,0.9,-0.18,-0.02,-0
Net Cash / Debt Growth,-67.78%,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.01,0.02,0.01,-0.03,-0.00,-
Working Capital,-0.43,0.01,0.11,0.4,0.66,-0.52,-0.36,-0.04
Book Value Per Share,-0.28,-0.27,-0.27,-0.27,-0.13,0.00,0.00,-
